latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-18.35124,-49.87074,341.35,1.41,1.17,2022-06-29,0132,T,100,6.1NRT,292.02,78.28,N
-18.09309,-48.7802,306.44,1.21,1.09,2022-06-29,0132,T,68,6.1NRT,288.25,11.09,N
-17.19735,-44.43417,301.22,1.07,1.03,2022-06-29,0132,T,39,6.1NRT,288.3,5.93,N
-17.16746,-44.40496,302.01,1.08,1.04,2022-06-29,0132,T,21,6.1NRT,287.41,6.31,N
-17.16894,-44.41487,318.75,1.08,1.04,2022-06-29,0132,T,97,6.1NRT,288.82,19.69,N
-17.15966,-44.41643,303.31,1.08,1.04,2022-06-29,0132,T,54,6.1NRT,287.35,7.14,N
-17.16114,-44.42632,300.39,1.08,1.04,2022-06-29,0132,T,21,6.1NRT,288.1,5,N
-17.84021,-51.44018,308.61,1.78,1.31,2022-06-29,0132,T,75,6.1NRT,286.25,25.42,N
-17.84206,-51.45672,306.96,1.79,1.31,2022-06-29,0132,T,70,6.1NRT,283.99,23.06,N
-17.84544,-51.44518,310.8,1.78,1.31,2022-06-29,0132,T,51,6.1NRT,286.36,27.23,N
-17.32774,-53.30004,302.68,2.42,1.5,2022-06-29,0134,T,51,6.1NRT,286.8,26.09,N
-17.33016,-53.32315,307.71,2.43,1.5,2022-06-29,0134,T,72,6.1NRT,285.96,36.94,N
-17.33346,-53.30504,309.52,2.42,1.5,2022-06-29,0134,T,78,6.1NRT,287.21,39.06,N
-16.05737,-46.65111,324.59,1,1,2022-06-29,0134,T,100,6.1NRT,285.83,25.61,N
-16.05867,-46.66042,318.72,1,1,2022-06-29,0134,T,97,6.1NRT,284.52,19.7,N
-16.68899,-52.31389,300.23,1.99,1.38,2022-06-29,0134,T,22,6.1NRT,288.24,14.76,N
-16.7872,-54.49126,304.96,2.93,1.63,2022-06-29,0134,T,55,6.1NRT,288.37,33.67,N
-16.78989,-54.51859,303.04,2.94,1.63,2022-06-29,0134,T,36,6.1NRT,288.02,27.86,N
-16.78661,-54.49762,309.99,2.93,1.63,2022-06-29,0134,T,79,6.1NRT,288.5,52.44,N
-16.25193,-51.99339,303.66,1.86,1.33,2022-06-29,0134,T,56,6.1NRT,288.86,17.02,N
-15.63091,-48.56814,311.87,1.11,1.05,2022-06-29,0134,T,84,6.1NRT,286.64,15.17,N
-15.12851,-49.47097,309.32,1.22,1.1,2022-06-29,0134,T,77,6.1NRT,287.18,14.32,N
-15.13,-49.48225,302.56,1.22,1.1,2022-06-29,0134,T,50,6.1NRT,286.75,8.56,N
-15.11866,-49.47236,341.83,1.22,1.1,2022-06-29,0134,T,100,6.1NRT,288.59,63.83,N
-13.94068,-44.43155,335.38,1.16,1.07,2022-06-29,0134,T,100,6.1NRT,288.42,47.48,N
-13.94227,-44.44214,325.68,1.16,1.07,2022-06-29,0134,T,100,6.1NRT,287.1,31.84,N
-13.93109,-44.43315,320.85,1.16,1.07,2022-06-29,0134,T,100,6.1NRT,287.31,26.11,N
-13.93268,-44.44374,305.21,1.16,1.07,2022-06-29,0134,T,63,6.1NRT,286.78,10.85,N
-14.4765,-48.78131,306.09,1.11,1.05,2022-06-29,0134,T,66,6.1NRT,292.52,8.34,N
-14.4671,-48.78287,316.69,1.11,1.05,2022-06-29,0134,T,94,6.1NRT,292.67,17.04,N
-14.46847,-48.79311,312.95,1.11,1.05,2022-06-29,0134,T,86,6.1NRT,292.17,13.57,N
